"Plate","Well","ID"
"4A","G10","EE_CO_PU_344"
"4A","G11","EE_CO_PU_352"
"4A","G12",NA
"4A","H1","EE_CO_TC_273"
"4A","H2","EE_CO_TC_281"
"4A","H3","EE_CO_TC_289"
"4A","H4","EE_CO_TC_297"
"4A","H5","EE_CO_TC_305"
"4A","H6","EE_CO_PU_313"
"4A","H7","EE_CO_PU_321"
"4A","H8","EE_CO_PU_329"
"4A","H9","EE_CO_PU_337"
"4A","H10","EE_CO_PU_345"
"4A","H11","EE_CO_PU_353"
"4A","H12",NA
"5A","A1","EE_AG_AH0131_358"
"5A","A2","EE_AG_AS0233_366"
"5A","A3","EE_AG_BM0337_374"
"5A","A4","EE_AG_BV0438_382"
"5A","A5","EE_AG_DH0536_390"
"5A","A6","EE_AG_EW0636_398"
"5A","A7","EE_AG_FR0735_406"
"5A","A8","EE_AG_GB0835_414"
"5A","A9","EE_AG_HO0936_422"
"5A","A10","EE_AG_JC1037_430"
"5A","A11","EE_AG_LV1135_438"
"5A","A12",NA
"5A","B1","EE_AG_AH0132_359"
"5A","B2","EE_AG_AS0234_367"
"5A","B3","EE_AG_BM0339_375"
"5A","B4","EE_AG_BV0439_383"
"5A","B5","EE_AG_DH0537_391"
"5A","B6","EE_AG_EW0637_399"
"5A","B7","EE_AG_FR0736_407"
"5A","B8","EE_AG_GB0838_415"
"5A","B9","EE_AG_HO0937_423"
"5A","B10","EE_AG_JC1038_431"
"5A","B11","EE_AG_LV1136_439"
"5A","B12",NA
"5A","C1","EE_AG_AH0133_360"
"5A","C2","EE_AG_AS0238_368"
"5A","C3","EE_AG_BV0430_376"
"5A","C4","EE_AG_DH0530_384"
"5A","C5","EE_AG_DH0539_392"
"5A","C6","EE_AG_EW0638_400"
"5A","C7","EE_AG_FR0737_408"
"5A","C8","EE_AG_GB0839_416"
"5A","C9","EE_AG_HO0938_424"
"5A","C10","EE_AG_JC1039_432"
"5A","C11","EE_AG_LV1137_440"
"5A","C12",NA
"5A","D1","EE_AG_AH0134_361"
"5A","D2","EE_AG_BM0330_369"
"5A","D3","EE_AG_BV0432_377"
"5A","D4","EE_AG_DH0531_385"
"5A","D5","EE_AG_EW0630_393"
"5A","D6","EE_AG_EW0639_401"
"5A","D7","EE_AG_FR0738_409"
"5A","D8","EE_AG_HO0930_417"
"5A","D9","EE_AG_JC1030_425"
"5A","D10","EE_AG_LV1130_433"
"5A","D11","EE_AG_LV1138_441"
"5A","D12",NA
"5A","E1","EE_AG_AH0135_362"
"5A","E2","EE_AG_BM0332_370"
"5A","E3","EE_AG_BV0434_378"
"5A","E4","EE_AG_DH0532_386"
"5A","E5","EE_AG_EW0632_394"
"5A","E6","EE_AG_FR0730_402"
"5A","E7","EE_AG_FR0739_410"
"5A","E8","EE_AG_HO0931_418"
"5A","E9","EE_AG_JC1032_426"
"5A","E10","EE_AG_LV1131_434"
"5A","E11",NA
"5A","E12",NA
"5A","F1","EE_AG_AH0137_363"
"5A","F2","EE_AG_BM0334_371"
"5A","F3","EE_AG_BV0435_379"
"5A","F4","EE_AG_DH0533_387"
"5A","F5","EE_AG_EW0633_395"
"5A","F6","EE_AG_FR0732_403"
"5A","F7","EE_AG_GB0830_411"
"5A","F8","EE_AG_HO0932_419"
"5A","F9","EE_AG_JC1033_427"
"5A","F10","EE_AG_LV1132_435"
"5A","F11",NA
"5A","F12",NA
"5A","G1","EE_AG_AS0230_364"
"5A","G2","EE_AG_BM0335_372"
"5A","G3","EE_AG_BV0436_380"
"5A","G4","EE_AG_DH0534_388"
"5A","G5","EE_AG_EW0634_396"
"5A","G6","EE_AG_FR0733_404"
"5A","G7","EE_AG_GB0831_412"
"5A","G8","EE_AG_HO0934_420"
"5A","G9","EE_AG_JC1035_428"
"5A","G10","EE_AG_LV1133_436"
"5A","G11",NA
"5A","G12",NA
"5A","H1","EE_AG_AS0231_365"
"5A","H2","EE_AG_BM0336_373"
"5A","H3","EE_AG_BV0437_381"
"5A","H4","EE_AG_DH0535_389"
"5A","H5","EE_AG_EW0635_397"
"5A","H6","EE_AG_FR0734_405"
"5A","H7","EE_AG_GB0833_413"
"5A","H8","EE_AG_HO0935_421"
"5A","H9","EE_AG_JC1036_429"
"5A","H10","EE_AG_LV1134_437"
"5A","H11",NA
"5A","H12",NA
